title,year,certificate,genre,rating
Freddy,2022,UA 16+,Drama  Mystery  Thriller            ,7.9
An Action Hero,2022,U,Action            ,8.1
Kantara,2022,UA,Action  Adventure  Drama            ,8.7
Khakee: The Bihar Chapter,2022–,UA 13+,Action  Crime  Drama            ,8.3
Drishyam 2,2022,UA,Crime  Drama  Mystery            ,8.6
Qala,2022,UA 16+,Drama  History  Music            ,7.2
Bhediya,2022,UA,Comedy  Horror  Thriller            ,7.7
Goodbye,I 2022,U,Comedy  Drama  Family            ,7.3
RRR (Rise Roar Revolt),2022,UA,Action  Drama            ,8.0
India Lockdown,2022,UA,Drama            ,8.7
Cat,2022–,18,Crime  Drama  Thriller            ,9.3
Office Christmas Party,2016,R,Comedy            ,5.9
Chup,2022,A,Drama  Romance  Thriller            ,7.9
Dharavi Bank,2022–,UA 16+,Crime  Drama  Thriller            ,8.8
Vadhandhi: The Fable of Velonie,2022–,A,Crime  Drama  Mystery            ,8.5
Sita Ramam,2022,U,Action  Drama  Mystery            ,8.6
Brahmastra Part One: Shiva,2022,UA,Action  Adventure  Fantasy            ,5.6
1917,2019,R,Action  Drama  War            ,8.2
Nazar Andaaz,I 2022,U,Comedy            ,7.4
Love Today,2022,UA,Comedy  Drama  Romance            ,8.3
College Romance,2018–,16+,Comedy  Drama  Romance            ,8.4
Monica O My Darling,2022,UA 16+,Comedy  Crime  Drama            ,7.5
Ready Player One,2018,UA,Action  Adventure  Sci-Fi            ,7.4
Mirzapur,2018–,18,Action  Crime  Drama            ,8.5
Salaam Venky,2022,U,Drama            ,8.0
Blurr,2022,A,Drama  Thriller            ,4.8
Ponniyin Selvan: I,2022,UA,Action  Drama  Family            ,7.9
Yashoda,2022,UA,Action  Sci-Fi  Thriller            ,7.7
DAMaN,2022,UA,Adventure  Biography  Drama            ,9.3
Dhokha: Round D Corner,2022,A,Crime  Thriller            ,6.8
Godfather,2022,UA,Action  Crime  Drama            ,5.4
The Help,2011,UA,Drama            ,8.1
Ram Setu,2022,UA,Action  Adventure            ,5.2
Raksha Bandhan,2022,U,Comedy  Drama  Family            ,5.1
The Happening,2008,UA,Adventure  Drama  Sci-Fi            ,5.0
3 Idiots,2009,UA,Comedy  Drama            ,8.4
HIT: The 2nd Case,2022,A,Action  Crime  Drama            ,7.7
Drishyam,2015,UA,Crime  Drama  Mystery            ,8.2
Tanaav,2022–,UA 16+,Action  Crime  Drama            ,8.5
Bridge of Spies,2015,UA,Drama  History  Thriller            ,7.6
Mukhbir - The Story of a Spy,2022–,UA,Drama  Mystery  Thriller            ,7.8
Monster,III 2022,UA,Action  Adventure  Crime            ,4.6
Vikram Vedha,2022,UA,Action  Crime  Drama            ,7.1
Flames,2018–,Not Rated,Comedy  Drama  Romance            ,8.9
Ghost in the Shell,2017,U,Action  Crime  Drama            ,6.3
The Turning,2020,18,Drama  Horror  Mystery            ,3.9
Breathe: Into the Shadows,2020–,16,Drama  Thriller            ,7.6
Tumbbad,2018,A,Drama  Fantasy  Horror            ,8.2
Finch,2021,UA 13+,Adventure  Drama  Sci-Fi            ,6.9
Dredd,2012,A,Action  Crime  Sci-Fi            ,7.1
Kumari,2022,UA,Horror  Thriller            ,6.5
Life of Pi,2012,U,Adventure  Drama  Fantasy            ,7.9
Lincoln,2012,U,Biography  Drama  History            ,7.3
Liger,2022,UA,Action  Drama  Romance            ,3.0
Mismatched,2020–,15+,Comedy  Drama  Romance            ,5.8
Nitham Oru Vaanam,2022,U,Drama            ,7.5
HIT: The First Case,2022,UA,Action  Crime  Drama            ,6.8
Hit,2020,UA,Action  Crime  Drama            ,7.6
The Girl on the Train,2016,A,Crime  Drama  Mystery            ,6.5
Lion,2016,U,Biography  Drama            ,8.0
Uunchai,2022,U,Adventure  Drama            ,7.8
Kooman,2022,UA,Drama  Mystery  Thriller            ,7.5
Doctor G,2022,A,Comedy  Drama            ,7.1
Rorschach,2022,UA,Action  Mystery  Thriller            ,7.1
Four More Shots Please!,2019–2022,18+,Comedy  Drama  Romance            ,7.4
Karthikeya 2,2022,UA,Action  Adventure  Fantasy            ,7.9
Laal Singh Chaddha,2022,UA,Comedy  Drama  Romance            ,5.5
